algorithm,timestamp,keys_in_memory
SLIDING,1072.6000000000165,899
SLIDING,1073.0000000000166,896
SLIDING,1073.6000000000167,852
SLIDING,1074.0000000000168,811
SLIDING,1074.600000000017,726
TUMBLING,1075.0,712
SLIDING,1075.000000000017,698
SLIDING,1075.6000000000172,694
SLIDING,1076.0000000000173,700
SLIDING,1076.6000000000174,708
SLIDING,1077.0000000000175,711
SLIDING,1077.6000000000176,711
SLIDING,1078.0000000000177,706
SLIDING,1078.6000000000179,705
SLIDING,1079.000000000018,708
SLIDING,1079.600000000018,710
TUMBLING,1080.0,728
SLIDING,1080.0000000000182,714
SLIDING,1080.6000000000183,798
SLIDING,1081.0000000000184,844
SLIDING,1081.6000000000186,889
SLIDING,1082.0000000000186,893
SLIDING,1082.6000000000188,909
SLIDING,1083.0000000000189,910
SLIDING,1083.600000000019,859
SLIDING,1084.000000000019,814
SLIDING,1084.6000000000192,718
TUMBLING,1085.0,692
SLIDING,1085.0000000000193,676
SLIDING,1085.6000000000195,677
SLIDING,1086.0000000000196,690
SLIDING,1086.6000000000197,701
SLIDING,1087.0000000000198,688
SLIDING,1087.60000000002,696
SLIDING,1088.00000000002,703
SLIDING,1088.6000000000201,695
SLIDING,1089.0000000000202,695
SLIDING,1089.6000000000204,705
TUMBLING,1090.0,717
SLIDING,1090.0000000000205,695
SLIDING,1090.6000000000206,785
SLIDING,1091.0000000000207,834
SLIDING,1091.6000000000208,887
SLIDING,1092.000000000021,903
SLIDING,1092.600000000021,912
SLIDING,1093.0000000000211,903
SLIDING,1093.6000000000213,860
SLIDING,1094.0000000000214,817
SLIDING,1094.6000000000215,736
SLIDING,1095.0000000000216,708
TUMBLING,1095.0,726
SLIDING,1095.6000000000217,696
SLIDING,1096.0000000000218,683
SLIDING,1096.600000000022,684
SLIDING,1097.000000000022,690
SLIDING,1097.6000000000222,695
SLIDING,1098.0000000000223,698
SLIDING,1098.6000000000224,708
SLIDING,1099.0000000000225,709
SLIDING,1099.6000000000226,699
TUMBLING,1100.0,710
SLIDING,1100.0000000000227,701
SLIDING,1100.6000000000229,796
SLIDING,1101.000000000023,831
SLIDING,1101.600000000023,879
SLIDING,1102.0000000000232,901
SLIDING,1102.6000000000233,904
SLIDING,1103.0000000000234,892
SLIDING,1103.6000000000236,854
SLIDING,1104.0000000000236,818
SLIDING,1104.6000000000238,728
TUMBLING,1105.0,710
SLIDING,1105.0000000000239,695
SLIDING,1105.600000000024,693
SLIDING,1106.000000000024,695
SLIDING,1106.6000000000242,691
SLIDING,1107.0000000000243,694
SLIDING,1107.6000000000245,700
SLIDING,1108.0000000000246,702
SLIDING,1108.6000000000247,690
SLIDING,1109.0000000000248,692
SLIDING,1109.600000000025,688
TUMBLING,1110.0,702
SLIDING,1110.000000000025,689
SLIDING,1110.6000000000251,775
SLIDING,1111.0000000000252,821
SLIDING,1111.6000000000254,876
SLIDING,1112.0000000000255,891
SLIDING,1112.6000000000256,908
SLIDING,1113.0000000000257,897
SLIDING,1113.6000000000258,850
SLIDING,1114.000000000026,816
SLIDING,1114.600000000026,745
TUMBLING,1115.0,730
SLIDING,1115.0000000000261,711
SLIDING,1115.6000000000263,709
SLIDING,1116.0000000000264,708
SLIDING,1116.6000000000265,696
SLIDING,1117.0000000000266,700
SLIDING,1117.6000000000267,692
SLIDING,1118.0000000000268,699
SLIDING,1118.600000000027,697
SLIDING,1119.000000000027,698
SLIDING,1119.6000000000272,693
SLIDING,1120.0000000000273,701
TUMBLING,1120.0,712
SLIDING,1120.6000000000274,791
SLIDING,1121.0000000000275,831
SLIDING,1121.6000000000276,872
SLIDING,1122.0000000000277,887
SLIDING,1122.6000000000279,895
